2015-12-04 16:14:57 status unpacked libkmod2:amd64 18-3ubuntu1
2015-12-04 16:14:57 status unpacked libkmod2:amd64 18-3ubuntu1
2015-12-04 16:14:57 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2015-12-04 16:14:57 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2015-12-04 16:14:57 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2015-12-04 16:14:58 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2015-12-04 16:14:58 install libmount1:amd64 <none> 2.25.2-4ubuntu2
2015-12-04 16:14:58 status half-installed libmount1:amd64 2.25.2-4ubuntu2
2015-12-04 16:14:58 status unpacked libmount1:amd64 2.25.2-4ubuntu2
2015-12-04 16:14:58 status unpacked libmount1:amd64 2.25.2-4ubuntu2
2015-12-04 16:14:58 install libncurses5:amd64 <none> 5.9+20140712-2ubuntu2
2015-12-04 16:14:58 status half-installed libncurses5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:14:58 status unpacked libncurses5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:14:58 status unpacked libncurses5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:14:59 install libncursesw5:amd64 <none> 5.9+20140712-2ubuntu2
2015-12-04 16:14:59 status half-installed libncursesw5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:14:59 status unpacked libncursesw5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:14:59 status unpacked libncursesw5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:14:59 install libpam-modules:amd64 <none> 1.1.8-3.1ubuntu3
2015-12-04 16:14:59 status half-installed libpam-modules:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 status unpacked libpam-modules:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 status unpacked libpam-modules:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 install libpam-modules-bin:amd64 <none> 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 status half-installed libpam-modules-bin:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 status unpacked libpam-modules-bin:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 status unpacked libpam-modules-bin:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 install libpam-runtime:all <none> 1.1.8-3.1ubuntu3
2015-12-04 16:15:00 status half-installed libpam-runtime:all 1.1.8-3.1ubuntu3
2015-12-04 16:15:01 status unpacked libpam-runtime:all 1.1.8-3.1ubuntu3
2015-12-04 16:15:01 status unpacked libpam-runtime:all 1.1.8-3.1ubuntu3
2015-12-04 16:15:01 install libpam0g:amd64 <none> 1.1.8-3.1ubuntu3
2015-12-04 16:15:01 status half-installed libpam0g:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:01 status unpacked libpam0g:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:01 status unpacked libpam0g:amd64 1.1.8-3.1ubuntu3
2015-12-04 16:15:01 install libpcre3:amd64 <none> 2:8.35-3.3ubuntu1
2015-12-04 16:15:01 status half-installed libpcre3:amd64 2:8.35-3.3ubuntu1
2015-12-04 16:15:02 status unpacked libpcre3:amd64 2:8.35-3.3ubuntu1
2015-12-04 16:15:02 status unpacked libpcre3:amd64 2:8.35-3.3ubuntu1
2015-12-04 16:15:02 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu8
2015-12-04 16:15:02 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu8
2015-12-04 16:15:02 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu8
2015-12-04 16:15:02 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu8
